,ts_code,symbol,name,fullname,market,exchange,list_status,list_date,delist_date
0,000001.SZ,1,平安银行,平安银行股份有限公司,深圳A,SZSE,L,19910403,
1,000002.SZ,2,万科A,万科企业股份有限公司,深圳A,SZSE,L,19910129,
2,000004.SZ,4,国农科技,深圳中国农大科技股份有限公司,深圳A,SZSE,L,19910114,
3,000005.SZ,5,世纪星源,深圳世纪星源股份有限公司,深圳A,SZSE,L,19901210,
4,000006.SZ,6,深振业A,深圳市振业(集团)股份有限公司,深圳A,SZSE,L,19920427,
5,000007.SZ,7,全新好,深圳市全新好股份有限公司,深圳A,SZSE,L,19920413,
6,000008.SZ,8,神州高铁,神州高铁技术股份有限公司,深圳A,SZSE,L,19920507,
7,000009.SZ,9,中国宝安,中国宝安集团股份有限公司,深圳A,SZSE,L,19910625,
8,000010.SZ,10,美丽生态,深圳美丽生态股份有限公司,深圳A,SZSE,L,19951027,
9,000011.SZ,11,深物业A,深圳市物业发展(集团)股份有限公司,深圳A,SZSE,L,19920330,
10,000012.SZ,12,南玻A,中国南玻集团股份有限公司,深圳A,SZSE,L,19920228,
11,000014.SZ,14,沙河股份,沙河实业股份有限公司,深圳A,SZSE,L,19920602,
12,000016.SZ,16,深康佳A,康佳集团股份有限公司,深圳A,SZSE,L,19920327,
13,000017.SZ,17,*ST中华A,深圳中华自行车(集团)股份有限公司,深圳A,SZSE,L,19920331,
14,000019.SZ,19,深粮控股,深圳市深粮控股股份有限公司,深圳A,SZSE,L,19921012,
15,000020.SZ,20,深华发A,深圳中恒华发股份有限公司,深圳A,SZSE,L,19920428,
16,000021.SZ,21,深科技,深圳长城开发科技股份有限公司,深圳A,SZSE,L,19940202,
17,000023.SZ,23,深天地A,深圳市天地(集团)股份有限公司,深圳A,SZSE,L,19930429,
18,000025.SZ,25,特力A,深圳市特力(集团)股份有限公司,深圳A,SZSE,L,19930621,
19,000026.SZ,26,飞亚达,飞亚达精密科技股份有限公司,深圳A,SZSE,L,19930603,
20,000027.SZ,27,深圳能源,深圳能源集团股份有限公司,深圳A,SZSE,L,19930903,
21,000028.SZ,28,国药一致,国药集团一致药业股份有限公司,深圳A,SZSE,L,19930809,
22,000029.SZ,29,深深房A,深圳经济特区房地产(集团)股份有限公司,深圳A,SZSE,L,19930915,
23,000030.SZ,30,富奥股份,富奥汽车零部件股份有限公司,深圳A,SZSE,L,19930929,
24,000031.SZ,31,大悦城,大悦城控股集团股份有限公司,深圳A,SZSE,L,19931008,
25,000032.SZ,32,深桑达A,深圳市桑达实业股份有限公司,深圳A,SZSE,L,19931028,
26,000034.SZ,34,神州数码,神州数码集团股份有限公司,深圳A,SZSE,L,19940509,
27,000035.SZ,35,中国天楹,中国天楹股份有限公司,深圳A,SZSE,L,19940408,
28,000036.SZ,36,华联控股,华联控股股份有限公司,深圳A,SZSE,L,19940617,
