ts_code,exchange,chairman,manager,secretary,reg_capital,setup_date,province,city,website,email,employees
300304.SZ,SZSE,付红玲,蔡承儒,郑渲薇,86603.6018,20070427,江苏,徐州市,www.yunyi-china.com,dsh@yunyi-china.com,948
002635.SZ,SZSE,吕莉,吕莉,马玉燕,63420.208,19991216,江苏,苏州市,www.anjiesz.com,zhengquan@anjiesz.com,6391
002836.SZ,SZSE,肖海兰,肖海兰,夏明珠,16000,20060322,广东,潮州市,www.newglp.com,gdxhz@newglp.com;xiamz@newglp.com;zhendai@newglp.com,689
002707.SZ,SZSE,冯滨,冯滨,郭镭,90994.5822,19920811,北京,北京市,www.uzai.com,stock@utourworld.com,5468
002629.SZ,SZSE,温志平,陈曦,王晶,41194.8,20060927,浙江,温州市,www.chinarenzhi.com,ofc_board@renzhi.cn,137
300620.SZ,SZSE,Wang Xinglong,Wang Xinglong,吴炜,9164.7,20001109,广东,珠海市,www.afrlaser.com,weiwu@fiber-resources.com;christina@fiber-resources.com,1046
300397.SZ,SZSE,贺增林,贺增林,陈桦,43200,20040508,陕西,西安市,www.thtw.com.cn,thdsh126@126.com,2622
300608.SZ,SZSE,吴飞舟,吴飞舟,咸海丰,15765.1712,19951225,北京,北京市,www.si-tech.com.cn,securities@si-tech.com.cn,3168
300210.SZ,SZSE,孙斌武,孙斌武,王文铎,48421.9953,20041025,辽宁,鞍山市,www.assyrb.com,1357909379@qq.com;dmassy@assyrb.com;senyuan2525@163.com,582
002828.SZ,SZSE,陈平贵,陈平贵,高勇,20098.76,20091126,新疆,克拉玛依市,www.beiken.com,gaoyong@beiken.com;dingzhan@beiken.com,1659
002788.SZ,SZSE,吴金祥,吴金祥,叶泉青,38851.6736,20080903,福建,厦门市,www.luyan.com.cn,zqb@luyan.com.cn,4819
002664.SZ,SZSE,尹巍,秦祥秋,陈世海,40002,19900714,浙江,台州市,www.chinaxinzhi.com,xinzhi@chinaxinzhi.com;haishi.chen@chinaxinzhi.com,2976
300877.SZ,SZSE,曹松亭,曹松亭,孙涛,12000,20110721,安徽,滁州市,www.ahjinchun.com,suntao@ahjinchun.com,561
300850.SZ,SZSE,肖争强,肖高强,曹柏根,10600,20050803,河南,洛阳市,www.lyxqlbearing.com.cn,xql@lyxql.com.cn,620
300892.SZ,SZSE,王牧,王牧,朱国辉,10000,19970909,上海,上海市,www.pinlive.com,securities@pinlive.com,486
300578.SZ,SZSE,路路,路路,路路,17411.9955,20060208,上海,上海市,www.bizconf.cn,BDoffice@bizconf.cn,668
300396.SZ,SZSE,宋洁,郑国明,安国柱,27603,19941226,吉林,长春市,www.dirui.com.cn,zqb@dirui.com.cn,1885
300476.SZ,SZSE,陈涛,陈涛,赵启祥,77756.1455,20060728,广东,惠州市,www.shpcb.com,zqb@shpcb.com,6087
300309.SZ,SZSE,姚庆,姚庆,付大鹏,88612.3765,20060515,北京,北京市,www.gi-tech.cn,investor@gi-tech.cn,246
300341.SZ,SZSE,杨泽声,Hollis Li,李臻,51016.3336,20021104,福建,厦门市,www.motic-electric.com,James_Li@motic-electric.com;flora_huang@motic-electric.com,2206
300615.SZ,SZSE,石伟平,王忠伟,孙海龙,18720,20050510,广东,深圳市,www.xdc-industries.com,sun.hailong@xdc-industries.com;xdcdb@xdc-industries.com,515
300571.SZ,SZSE,郭庆,郭庆,潘爱斌,12459.7715,20021125,浙江,杭州市,www.anysoft.cn,pingzhi@tiansign.com,551
300446.SZ,SZSE,侯景滨,刘彦峰,周春丽,20262,20050203,河北,保定市,maginfo.luckyfilm.com.cn,lekaixincai@luckyfilm.com,283
300398.SZ,SZSE,苏斌,苏斌,曹松,51764.2028,20020426,上海,上海市,www.phichem.com.cn,investor@phichem.com.cn,1652
300459.SZ,SZSE,王健,张维璋,胡斐,354354.4059,20070612,浙江,绍兴市,www.jinkeculture.com,zqb@jktom.com;hufei@jktom.com;zhangjun@jktom.com,1131
002959.SZ,SZSE,李一峰,李一峰,刘奎,15600,20060316,广东,佛山市,www.bears.com.cn,xxdq01@bears.com.cn,3377
002420.SZ,SZSE,熊海涛,徐建新,叶昌焱,40100,19970912,广东,广州市,www.echom.com,zhengquan@echom.com,2495
002913.SZ,SZSE,程涌,贺波,贺梓修,14786.8152,20080521,湖南,益阳市,www.askpcb.com,askpcb@askpcb.com;hezx@askpcb.com;fin02@askpcb.com,4094
002412.SZ,SZSE,刘正清,刘正清,戴江洪,50320,19980121,湖南,益阳市,www.hansenzy.com,office@hansenzy.com;hnyydjh@163.com;maxiwen_218@163.com,1561
002908.SZ,SZSE,虢晓彬,虢晓彬,陈曲,20079.4668,19990813,广东,广州市,www.e-tecsun.com,stock@e-tecsun.net,987
002583.SZ,SZSE,陈清州,陈清州,周炎,183957.3991,19930511,广东,深圳市,www.hytera.com,stock@hytera.com;zhiyong.tian@hytera.com,8164
002431.SZ,SZSE,林从孝,林从孝,陈思思,148698.545,19930921,河南,郑州市,www.palm-la.com,002431@palm-la.com,1269
002732.SZ,SZSE,李志平,冯立科,李春锋,15735,20021230,广东,广州市,www.yantangmilk.com,master@ytdairy.com,1433
002993.SZ,SZSE,刘昊,刘昊,蔺政,18080,20120221,广东,东莞市,www.aohaichina.com,ir@aohaichina.com,4714
300726.SZ,SZSE,钟若农,曾琛,曾垒,40010,19931118,湖南,株洲市,www.hongdacap.com.cn,hongdaelectronics@foxmail.com;leonzenglei@foxmail.com;zhengyx1208@foxmail.com,1299
300903.SZ,SZSE,郑晓蓉,郑晓蓉,郑海涛,17233.7694,20011102,广东,惠州市,www.gdkxpcb.com,zqb@kxkjpcb.com,2600
002342.SZ,SZSE,杨建国,张虹,张云,96000,20041207,河北,保定市,www.julisling.com,juli@julisling.com;zhangyun@julisling.com;cailiuyangjlsj@163.com,2221
002525.SZ,SZSE,姚胜,姚胜,余凤庭,6800,20031023,湖南,岳阳市,www.shengjingshanhe.com,sjshdm@vip.163.com,110
002647.SZ,SZSE,王石山,王石山,霍东,55993.665,19980724,浙江,绍兴市,www.rendongholdings.com,huod@rendongholdings.com;jiah@rendongholdings.com;Dmb@rendongholdings.com,359
002402.SZ,SZSE,刘建伟,刘建伟,罗珊珊,91409.4928,20000112,广东,深圳市,www.szhittech.com,het@szhittech.com,4177
300748.SZ,SZSE,蔡报贵,蔡报贵,鹿明,41597.6216,20080819,江西,赣州市,www.jlmag.com.cn,jlmag_info@jlmag.com.cn,2189
002560.SZ,SZSE,马红菊,曲洪普,张治中,44385.6103,20020326,河南,洛阳市,www.hntddl.com,hntddlzqb@163.com,561
300115.SZ,SZSE,陈奇星,陈小硕,胡宇龙,90986.0262,20010717,广东,深圳市,www.ewpt.cn,IR@ewpt.com,21606
300171.SZ,SZSE,郑效东,郑效东,王艳,62833.704,19931225,上海,上海市,www.tofflon.com,dfl@tofflon.com,2457
300878.SZ,SZSE,刘忠良,卢卫芳,谢立恒,8043.9068,20000331,浙江,丽水市,www.zjwk.com,zjwk@zjwk.com,841
300510.SZ,SZSE,魏庆辉,魏庆辉,赵红云,88288.4984,20061019,吉林,长春市,www.jljgdq.cn,jilinjinguan@163.com,1563
300209.SZ,SZSE,肖四清,肖四清,唐香素,42373.2024,20000525,江苏,南京市,www.tiza.com.cn,tianze@tiza.com.cn;tang_xs@tiza.com.cn;liudan@tiza.com.cn,2903
002454.SZ,SZSE,陈焕雄,纪安康,陈睿,62858.16,20020604,上海,上海市,www.shsongz.com.cn,shstock@shsongz.com.cn;chenrui@shsongz.com,3052
300798.SZ,SZSE,赵卫国,赵卫国,肖卫兵,41774.8945,19990120,江苏,泰州市,www.jinjidyes.com,xiaoweibing@jinjidyes.com;zhanghongwu@jinjidyes.com,709
300611.SZ,SZSE,章碧鸿,刘小洪,章夏巍,17895.055,20020516,浙江,绍兴市,www.china-springs.com,xiawei.zhang@china-springs.com;yuqi.liang@china-springs.com,1064
002728.SZ,SZSE,许丹青,许丹青,陈习良,20351.7577,20020523,广东,江门市,www.tczy.com.cn,ty002728@vip.sina.com,1361
002552.SZ,SZSE,朱宝松,朱宝松,赵晓兵,30623.2338,19990325,浙江,杭州市,www.baoding-tech.com,bdkj@baoding-tech.com;zhaoxb@baoding-tech.com,469
002641.SZ,SZSE,卢震宇,冀雄,陈志国,113546.7091,19930319,浙江,台州市,www.yonggao.com\www.era.com.cn,zqb@yonggao.com,5929
002691.SZ,SZSE,冯帆,孙波,田季英,34000,20030516,河北,石家庄市,www.jikaigf.com,tjy@jikaigf.com;liuna@jikaigf.com,836
002876.SZ,SZSE,张建军,张建军,王志阳,12480,20070416,广东,深圳市,www.sunnypol.com,dsh@sunnypol.com;huanghui@sunnypol.com,2028
002760.SZ,SZSE,杨剑,李结平,李结平,8800,19971229,安徽,宣城市,www.fengxing.com,fxzqb@fengxing.com,1001
002979.SZ,SZSE,李卫平,李卫平,杨立望,20800,20070109,广东,深圳市,www.leisai.com,ir@leisai.com,712
