name,shortname,province,city,address,phone,office,website,chairman,manager,reg_capital,setup_date,end_date,employees,main_business,org_code,credit_code
北京广能投资基金管理有限公司,广能基金,北京,北京市,北京市朝阳区北四环中路27号院5号楼2712-2715A,,北京市朝阳区北四环中路27号院5号楼2712-2715A,www.gnfund.cn,刘锡潜,杨运成,10000.0,20111031,,10.0,,584419680,
宏源证券股份有限公司,宏源证券,新疆,乌鲁木齐市,新疆维吾尔自治区乌鲁木齐市文艺路233号宏源大厦,86-991-2301870,新疆维吾尔自治区乌鲁木齐市文艺路233号宏源大厦,www.hysec.com,冯戎,冯戎,397240.8332,19930525,,5347.0,主要业务:代理买卖证券.,228593068,
国元证券股份有限公司,国元证券,安徽,合肥市,安徽省合肥市梅山路18号,"86-551-62207323,86-551-62207968",安徽省合肥市梅山路18号,www.gyzq.com.cn,蔡咏,俞仕新,336544.7047,19970606,,3330.0,"主营业务:经纪业务,自营投资业务,投行业务,资产管理业务,基金管理业务,期货业务,境外业务国元黄山1号集合资产管理计划,国元黄山2号集合资产管理计划",731686376,91340000731686376P
广发证券股份有限公司,广发证券,广东,广州市,广东省广州市黄埔区中新广州知识城腾飞一街2号618室,"86-20-87555888,86-20-87550565,86-20-87550265","广东省广州市天河区天河北路183-187号大都会广场40楼5楼,7楼,8楼,18楼,19楼,38-44楼",www.gf.com.cn,孙树明,林治海,762108.7664,19940121,,12103.0,主营业务:证券经纪,126335439,91440000126335439C
长江证券股份有限公司,长江证券,湖北,武汉市,湖北省武汉市江汉区新华路特8号,"86-27-65799866,86-27-65799856",湖北省武汉市江汉区新华路特8号,www.cjsc.com,尤习贵,刘元瑞,552947.096,19970724,,6637.0,主营业务:证券经纪,700821272,91420000700821272A
上海浦东发展银行股份有限公司,浦发银行,上海,上海市,上海市黄浦区中山东一路12号,"86-21-63611226,86-21-61618888",上海市黄浦区中山东一路12号,www.spdb.com.cn,高国富,刘信义,2935208.0397,19921019,,52551.0,"主营业务:吸收公众存款;发放短期,中期和长期贷款;办理结算;办理票据贴现;发行金融债券;代理发行,代理兑付,承销政府债券;买卖政府债券;同业拆借;提供信用证服务及担保;代理收付款项及代理保险业务;提供保管箱服务.外汇存款;外汇贷款;外汇汇款;外币兑换;国际结算;同业外汇拆借;,外汇票据的承兑和贴现;外汇借款;外汇担保;结汇,售汇;买卖和代理买卖股票以外的外币有价证券;自营外汇买卖;代客外汇买卖;资信调查,咨询,见证业务;离岸银行业务.经中国人民银行批准的其他业务.",13221158X,9131000013221158XC
东方金钰股份有限公司,东方金钰,湖北,鄂州市,湖北省鄂州市武昌大道298号,"86-755-25266298,86-755-25266000,86-755-25507000",广东省深圳市罗湖区贝丽北路水贝工业区2栋东方金钰珠宝大厦3楼,www.goldjade.cn,赵宁,张文风,135000.0,19930713,,470.0,"主要产品:教育网络,教育租赁,商业租赁,珠宝销售.",707099649,91420000707099649A
国金证券股份有限公司,国金证券,四川,成都市,四川省成都市青羊区东城根上街95号,86-28-86690021,四川省成都市青羊区东城根上街95号成证大厦16楼,www.gjzq.com.cn,冉云,金鹏,302435.931,19961220,,3282.0,"主营业务:证券经纪业务,投资银行业务,证券投资业务,资产管理业务.",201961940,91510100201961940F
绿地控股集团股份有限公司,绿地控股,上海,上海市,上海市黄浦区打浦路700号,"86-21-63600606,86-21-23296400",上海市黄浦区打浦路700号,www.ldjt.com.cn,张玉良,张玉良,1216815.4385,19920708,,33473.0,"住宅流通业务,住宅开发业务,住宅配套服务.",631137003,913100006311370032
海通证券股份有限公司,海通证券,上海,上海市,上海市黄浦区广东路689号海通证券大厦,86-21-23219000,上海市广东路689号海通证券大厦,www.htsec.com,周杰,瞿秋平,1150170.0,19930202,,10197.0,"证券经纪,承销保荐,融资融券,证券自营,资产管理,IB业务.",13220921X,9131000013220921X6
中国民生银行股份有限公司,中国民生银行,北京,北京市,北京市西城区复兴门内大街2号,"86-10-58560975,86-10-58560666",北京市西城区复兴门内大街2号民生银行大厦,www.cmbc.com.cn,洪崎,郑万春,4378241.8502,19960207,,57134.0,"主要业务:贷款(含贴现),拆出,存放同业,转贴现,存放央行,逆回购,债券投资,存款,可转换债券,拆入,同业存放,再贴现,转贴现,央行借款,正回购.",100018988,91110000100018988F
华泰联合证券有限责任公司,华泰联合证券,广东,深圳市,"广东省深圳市福田区深南大道4011号香港中旅大厦5,17,18,24,25,26层","86-755-82492010,86-95513",广东省深圳市福田区深南大道4011号香港中旅大厦26层,www.lhzq.com,刘晓丹,江禹,99748.0,19970905,,412.0,"与证券交易,证券投资活动有关的财务顾问;证券承销与保荐(国债,非金融企业债务融资工具承销业务,金融债承销业务除外).",279434913,914403002794349137
国信证券股份有限公司,国信证券,广东,深圳市,广东省深圳市罗湖区红岭中路1012号国信证券大厦十六层至二十六层,86-755-82130188,广东省深圳市罗湖区红岭中路1012号国信证券大厦,www.guosen.com.cn,何如,岳克胜,820000.0,19940630,,9131.0,"主营业务:证券经纪,投资银行,证券自营,资产管理以及资本中介等业务,通过全资子公司从事直接投资业务,期货业务,境外业务等.",192278444,914403001922784445
华泰证券股份有限公司,华泰证券,江苏,南京市,江苏省南京市江东中路228号,"86-25-83387788,86-25-83387793,86-25-83388272",江苏省南京市江东中路228号,www.htsc.com.cn,周易,周易,825150.0,19910409,,8767.0,"主营业务:证券经纪,投资银行,资产管理,基金管理,证券自营,证券投资管理,直接投资等",704041011,91320000704041011J
长城证券股份有限公司,长城证券,广东,深圳市,"广东省深圳市福田区深南大道6008号特区报业大厦16,17层",86-755-83516072,"广东省深圳市福田区深南大道6008号特区报业大厦16,17层",www.cgws.com,丁益,何伟,310340.5351,19960502,,3121.0,"主要业务包括经纪业务,金融研究,投行业务,证券投资业务,资产管理业务,场外市场业务,期货业务,基金管理业务,直接投资业务等.",192431912,91440300192431912U
