ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,market
159821.SZ,BOCI创业,中银证券,中国工商银行,股票型,20200929,,20201029,20200914,,2.1792,0.15,0.05,,1,0.1,,创业板指数收益率,L,被动指数型,契约型开放式,E
159822.SZ,新经济,银华基金,中国工商银行,股票型,20200929,,20201023,20200911,,9.0223,0.25,0.1,,1,0.1,,标普中国新经济行业(A股上限)指数收益率,L,被动指数型,契约型开放式,E
588080.SH,科创板50ETF,易方达基金,中国工商银行,股票型,20200928,,,20200922,,51.0559,0.5,0.1,,1,0.1,,上证科创板50成份指数收益率,I,被动指数型,契约型开放式,E
588090.SH,科创板ETF,华泰柏瑞基金,中国建设银行,股票型,20200928,,,20200922,,54.9874,0.5,0.1,,1,0.1,,上证科创板50成份指数收益率,I,被动指数型,契约型开放式,E
511000.SH,长三角地方债ETF,招商基金,浙商银行,债券型,20200928,,20201029,20200622,,6.093,0.15,0.05,,1,0.1,,中债-0-3年长三角地方政府债指数收益率,L,被动指数型,契约型开放式,E
588050.SH,科创ETF,工银瑞信基金,中国农业银行,股票型,20200928,,,20200922,,52.4263,0.5,0.1,,1,0.1,,上证科创板50成份指数收益率,I,被动指数型,契约型开放式,E
588000.SH,科创50ETF,华夏基金,招商银行,股票型,20200928,,,20200922,,51.2339,0.5,0.1,,1,0.1,,上证科创板50成份指数收益率,I,被动指数型,契约型开放式,E
159823.SZ,H股50ETF,嘉实基金,招商银行,股票型,20200924,,20201023,20200914,,2.9636,0.15,0.05,,1,0.1,,恒生中国企业指数收益率(使用估值汇率折算),L,被动指数型,契约型开放式,E
515760.SH,浙江国资ETF,华夏基金,中国农业银行,股票型,20200917,,20201012,20200610,,10.4789,0.45,0.05,,1,0.1,,中证浙江国资创新发展指数收益率,L,被动指数型,契约型开放式,E
510370.SH,兴业沪深300ETF,兴业基金,中信银行,股票型,20200911,,20201027,20200824,,2.1626,0.5,0.1,,1,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,E
518890.SH,中银上海金ETF,中银基金,招商银行,商品型,20200828,,20200928,20200717,,2.9529,0.5,0.1,,1,0.1,,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率,L,黄金现货合约,契约型开放式,E
502056.SH,医疗基金(LOF),广发基金,北京银行,股票型,20200826,,20150731,20200826,,0.5931,0.5,0.15,,1,,,中证医疗指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,E
510760.SH,上证综指ETF,国泰基金,上海银行,股票型,20200821,,20200909,20200810,,13.135,0.5,0.1,,1,0.1,,上证综合指数收益率,L,被动指数型,契约型开放式,E
515500.SH,中证长三角领先,海富通基金,中国银行,股票型,20200813,,20200918,20200506,,4.344,0.15,0.05,,1,0.1,,中证长三角领先指数收益率,L,被动指数型,契约型开放式,E
161121.SZ,银行,易方达基金,中国建设银行,股票型,20200807,,20200818,20200807,,3.4316,0.5,0.1,,1,,,中证银行指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,E
159820.SZ,500ETF基,天弘基金,国泰君安,股票型,20200807,,20200824,20200720,,3.3391,0.5,0.1,,1,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,E
159808.SZ,创业板RT,融通基金,中国建设银行,股票型,20200805,,20200904,20200430,,6.7348,0.3,0.1,,1,0.1,,创业板指数收益率,L,被动指数型,契约型开放式,E
518860.SH,上海金AUETF,建信基金,交通银行,商品型,20200805,,20200907,20200713,,2.62,0.5,0.1,,1,0.1,,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价的收益率,L,黄金现货合约,契约型开放式,E
159815.SZ,浙江100,招商基金,浙商银行,股票型,20200803,,20200818,20200428,,2.4604,0.3,0.1,,1,0.1,,中证浙江100指数收益率,L,被动指数型,契约型开放式,E
511360.SH,短融ETF,海富通基金,兴业银行,债券型,20200803,,20200925,20200430,,5.1146,0.15,0.05,,1,0.1,,中证短融指数收益率,L,被动指数型,契约型开放式,E
513990.SH,上证港股通ETF,招商基金,兴业银行,股票型,20200803,,20200818,20200428,,2.32,0.2,0.05,,1,0.1,,上证港股通指数收益率,L,被动指数型,契约型开放式,E
159816.SZ,0-4地债,鹏华基金,兴业银行,债券型,20200730,,20200904,20200430,,24.6075,0.15,0.05,,1,0.1,,中证0-4年期地方政府债指数收益率,L,被动指数型,契约型开放式,E
512350.SH,福建ETF,兴业基金,招商银行,股票型,20200727,,20200910,20200420,,2.1883,0.5,0.1,,1,0.1,,中证福建50指数收益率,L,被动指数型,契约型开放式,E
159819.SZ,AI智能,易方达基金,中国工商银行,股票型,20200727,,20200923,20200720,,61.5523,0.15,0.05,,1,0.1,,中证人工智能主题指数收益率,L,被动指数型,契约型开放式,E
515260.SH,电子ETF,华宝基金,中国建设银行,股票型,20200717,,20200731,20200701,,29.1928,0.5,0.1,,1,0.1,,中证电子50指数收益率,L,被动指数型,契约型开放式,E
